chart_week,title,performer,wks_on_chart
6/29/2024,Please Please Please,Sabrina Carpenter,2
6/29/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,6
6/29/2024,A Bar Song (Tipsy),Shaboozey,10
6/29/2024,Espresso,Sabrina Carpenter,10
6/29/2024,Million Dollar Baby,Tommy Richman,8
6/29/2024,Not Like Us,Kendrick Lamar,7
6/29/2024,Too Sweet,Hozier,13
6/29/2024,Beautiful Things,Benson Boone,22
6/29/2024,Lose Control,Teddy Swims,45
6/29/2024,Birds Of A Feather,Billie Eilish,5
6/22/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,5
6/22/2024,Please Please Please,Sabrina Carpenter,1
6/22/2024,Espresso,Sabrina Carpenter,9
6/22/2024,A Bar Song (Tipsy),Shaboozey,9
6/22/2024,Million Dollar Baby,Tommy Richman,7
6/22/2024,Not Like Us,Kendrick Lamar,6
6/22/2024,Too Sweet,Hozier,12
6/22/2024,Houdini,Eminem,2
6/22/2024,Birds Of A Feather,Billie Eilish,4
6/22/2024,Lose Control,Teddy Swims,44
6/15/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,4
6/15/2024,Houdini,Eminem,1
6/15/2024,Million Dollar Baby,Tommy Richman,6
6/15/2024,A Bar Song (Tipsy),Shaboozey,8
6/15/2024,Not Like Us,Kendrick Lamar,5
6/15/2024,Espresso,Sabrina Carpenter,8
6/15/2024,Too Sweet,Hozier,11
6/15/2024,Lose Control,Teddy Swims,43
6/15/2024,Beautiful Things,Benson Boone,20
6/15/2024,Pink Skies,Zach Bryan,2
6/8/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,3
6/8/2024,Not Like Us,Kendrick Lamar,4
6/8/2024,Million Dollar Baby,Tommy Richman,5
6/8/2024,A Bar Song (Tipsy),Shaboozey,7
6/8/2024,Espresso,Sabrina Carpenter,7
6/8/2024,Pink Skies,Zach Bryan,1
6/8/2024,Lose Control,Teddy Swims,42
6/8/2024,Too Sweet,Hozier,10
6/8/2024,Beautiful Things,Benson Boone,19
6/8/2024,Lunch,Billie Eilish,2
6/1/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,2
6/1/2024,Not Like Us,Kendrick Lamar,3
6/1/2024,Million Dollar Baby,Tommy Richman,4
6/1/2024,A Bar Song (Tipsy),Shaboozey,6
6/1/2024,Lunch,Billie Eilish,1
6/1/2024,Espresso,Sabrina Carpenter,6
6/1/2024,Lose Control,Teddy Swims,41
6/1/2024,Beautiful Things,Benson Boone,18
6/1/2024,Too Sweet,Hozier,9
6/1/2024,Fortnight,Taylor Swift Featuring Post Malone,5
5/25/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,1
5/25/2024,Not Like Us,Kendrick Lamar,2
5/25/2024,Million Dollar Baby,Tommy Richman,3
5/25/2024,A Bar Song (Tipsy),Shaboozey,5
5/25/2024,Beautiful Things,Benson Boone,17
5/25/2024,Lose Control,Teddy Swims,40
5/25/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",8
5/25/2024,Fortnight,Taylor Swift Featuring Post Malone,4
5/25/2024,Espresso,Sabrina Carpenter,5
5/25/2024,Too Sweet,Hozier,8
5/18/2024,Not Like Us,Kendrick Lamar,1
5/18/2024,Million Dollar Baby,Tommy Richman,2
5/18/2024,Euphoria,Kendrick Lamar,2
5/18/2024,Fortnight,Taylor Swift Featuring Post Malone,3
5/18/2024,A Bar Song (Tipsy),Shaboozey,4
5/18/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",7
5/18/2024,Family Matters,Drake,1
5/18/2024,Espresso,Sabrina Carpenter,4
5/18/2024,Beautiful Things,Benson Boone,16
5/18/2024,Lose Control,Teddy Swims,39
5/11/2024,Fortnight,Taylor Swift Featuring Post Malone,2
5/11/2024,Million Dollar Baby,Tommy Richman,1
5/11/2024,A Bar Song (Tipsy),Shaboozey,3
5/11/2024,Espresso,Sabrina Carpenter,3
5/11/2024,Beautiful Things,Benson Boone,15
5/11/2024,Lose Control,Teddy Swims,38
5/11/2024,Too Sweet,Hozier,6
5/11/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",6
5/11/2024,I Can Do It With A Broken Heart,Taylor Swift,2
5/11/2024,Down Bad,Taylor Swift,2
5/4/2024,Fortnight,Taylor Swift Featuring Post Malone,1
5/4/2024,Down Bad,Taylor Swift,1
5/4/2024,I Can Do It With A Broken Heart,Taylor Swift,1
5/4/2024,The Tortured Poets Department,Taylor Swift,1
5/4/2024,"So Long, London",Taylor Swift,1
5/4/2024,My Boy Only Breaks His Favorite Toys,Taylor Swift,1
5/4/2024,But Daddy I Love Him,Taylor Swift,1
5/4/2024,Florida!!!,Taylor Swift Featuring Florence + The Machine,1
5/4/2024,Who's Afraid Of Little Old Me?,Taylor Swift,1
5/4/2024,Guilty As Sin?,Taylor Swift,1
4/27/2024,Too Sweet,Hozier,4
4/27/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",4
4/27/2024,Beautiful Things,Benson Boone,13
4/27/2024,Lose Control,Teddy Swims,36
4/27/2024,Texas Hold 'Em,Beyonce,10
4/27/2024,Lovin On Me,Jack Harlow,23
4/27/2024,Espresso,Sabrina Carpenter,1
4/27/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,6
4/27/2024,Stick Season,Noah Kahan,29
4/27/2024,Saturn,SZA,8
4/20/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",3
4/20/2024,Too Sweet,Hozier,3
4/20/2024,Beautiful Things,Benson Boone,12
4/20/2024,Lose Control,Teddy Swims,35
4/20/2024,Texas Hold 'Em,Beyonce,9
4/20/2024,7 Minute Drill,J. Cole,1
4/20/2024,Lovin On Me,Jack Harlow,22
4/20/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,5
4/20/2024,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",3
4/20/2024,Stick Season,Noah Kahan,28
4/13/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",2
4/13/2024,Texas Hold 'Em,Beyonce,8
4/13/2024,Beautiful Things,Benson Boone,11
4/13/2024,Too Sweet,Hozier,2
4/13/2024,Lose Control,Teddy Swims,34
4/13/2024,II Most Wanted,Beyonce & Miley Cyrus,1
4/13/2024,Jolene,Beyonce,1
4/13/2024,Lovin On Me,Jack Harlow,21
4/13/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,4
4/13/2024,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",2
4/6/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",1
4/6/2024,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",1
4/6/2024,Beautiful Things,Benson Boone,10
4/6/2024,Lose Control,Teddy Swims,33
4/6/2024,Too Sweet,Hozier,1
4/6/2024,Cinderella,"Future, Metro Boomin & Travis Scott",1
4/6/2024,Lovin On Me,Jack Harlow,20
4/6/2024,We Don't Trust You,Future & Metro Boomin,1
4/6/2024,Young Metro,"Future, Metro Boomin & The Weeknd",1
4/6/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,3
3/30/2024,Lose Control,Teddy Swims,32
3/30/2024,Beautiful Things,Benson Boone,9
3/30/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,2
3/30/2024,Lovin On Me,Jack Harlow,19
3/30/2024,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,6
3/30/2024,Texas Hold 'Em,Beyonce,6
3/30/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,30
3/30/2024,Greedy,Tate McRae,27
3/30/2024,Enough (Miami),Cardi B,1
3/30/2024,Cruel Summer,Taylor Swift,46
3/23/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,1
3/23/2024,Lose Control,Teddy Swims,31
3/23/2024,Beautiful Things,Benson Boone,8
3/23/2024,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,5
3/23/2024,Lovin On Me,Jack Harlow,18
3/23/2024,Texas Hold 'Em,Beyonce,5
3/23/2024,Act II: Date @ 8,4Batz Featuring Drake,10
3/23/2024,Greedy,Tate McRae,26
3/23/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,29
3/23/2024,"Yes, And?",Ariana Grande,9
3/16/2024,Carnival,¥$: Kanye West & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,4
3/16/2024,Lose Control,Teddy Swims,30
3/16/2024,Lovin On Me,Jack Harlow,17
3/16/2024,Beautiful Things,Benson Boone,7
3/16/2024,Texas Hold 'Em,Beyonce,4
3/16/2024,Greedy,Tate McRae,25
3/16/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,28
3/16/2024,Snooze,SZA,64
